"Name","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Aarakocra Simulacrum","Medium","Humanoid (Aarakocra)","neutral good","12","6 (3d4)","20 ft., fly 50 ft.","10","14","10","11","12","11","","Perception +5","","","","","passive Perception 15","Auran, Aarakocra","1/8 (25 XP)","Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.
Simulacra. When a simulacrum drops to 0 hit points or is subjected to a successful dispel magic spell (DC 17), it reverts to ice and snow and is destroyed.","Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.
Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.
Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","","",""
"Aarakocra Spelljammer","Medium","Humanoid (Aarakocra)","any alignment","12 (15 with mage armor)","40 (9d8)","30 ft., fly 50 ft.","9","14","11","17","12","11","Int +6, Wis +4","Arcana +6, History +6","","","","","passive Perception 11","any four languages","6 (2,300 XP)","Spellcasting. The aarakocra is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The aarakocra has the following wizard spells prepared:Cantrips (at will): fire bolt, light, mage hand, prestidigitation1st level (4 slots): detect magic, mage armor, magic missile, shield2nd level (3 slots): misty step, suggestion3rd level (3 slots): counterspell, fireball, fly4th level (3 slots): greater invisibility, ice storm5th level (1 slot): cone of cold","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","",""
"Abyssal Chicken","Tiny","Fiend (Demon)","chaotic evil","13 (natural armor)","10 (3d4 + 3)","30 ft., fly 30 ft. (see bad flier below)","6","14","13","4","9","5","","","","cold, fire, lightning","poison","blinded, poisoned","blindsight 30 ft. (blind beyond this radius), passive Perception 9","understands Abyssal but can't speak","1/4 (50 XP)","Bad Flier. The abyssal chicken falls at the end of a turn if it's airborne and the only thing holding it aloft is its flying speed.","Multiattack. The abyssal chicken makes two attacks: one with its bite and one with its claws.
Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.
Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.","","","","","","","",""
"Abyssal Hyena","Medium","Fiend (Minion)","chaotic evil","11","8","50 ft.","14","13","12","5","12","7","","","","","","","darkvision 60 ft., passive Perception 11","understands Abyssal but can't speak","1 (40 XP)","Death Snap. When the hyena is reduced to 0 hit points, they can deal 1 piercing damage to a creature within 5 feet of them (no action required), provided they weren't incapacitated before dropping to 0 hit points.
Minion. If the hyena takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the hyena takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Bite (Group Attack). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage. If the target is a creature and two or more hyenas joined the attack, the target must succeed on a Strength saving throw or be knocked prone. The DC for this saving throw equals 10 plus the number of hyenas who joined the attack.","","","","","","","",""
"Abyssal Hyena","Medium","Fiend (Minion)","chaotic evil","11","8","50 ft.","14","13","12","5","12","7","","","","","","","darkvision 60 ft., passive Perception 11","understands Abyssal but can't speak","1 (40 XP)","Death Snap. When the hyena is reduced to 0 hit points, they can deal 1 piercing damage to a creature within 5 feet of them (no action required), provided they weren't incapacitated before dropping to 0 hit points.
Minion. If the hyena takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the hyena takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Bite (Group Attack). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage. If the target is a creature and two or more hyenas joined the attack, the target must succeed on a Strength saving throw or be knocked prone. The DC for this saving throw equals 10 plus the number of hyenas who joined the attack.","","","","","","","",""
"Abyssal Hyena Companion","Medium","Fiend (Companion)","unaligned","13 plus PB (natural armor)","7 + seven times caregiver's level (number of d8 Hit Dice equal to their caregiver's level)","50 ft.","16","14","12","5","12","8","Str +3 plus PB, Dex +2 plus PB","Perception +1 plus PB","","","","","darkvision 60 ft., passive Perception 11 plus PB","—","—","","Signature Attack (Bite). Melee Weapon Attack: +3 plus PB to hit, reach 5 ft., one target. Hit: 1d6 plus PB piercing damage.
1st Level: Unbalancing Attack (2 Ferocity). The hyena makes a signature attack. On a hit, the target also has disadvantage on the next Strength or Dexterity saving throw they make before the start of their next turn.
3rd Level: Gobbling Bite (5 Ferocity). The hyena makes a signature attack with advantage. On a hit, the attack deals an extra PB necrotic damage, and the hyena regains hit points equal to the necrotic damage dealt.
5th Level: Cackle (8 Ferocity). Each enemy within 30 feet of the hyena who can hear them must succeed on a DC 10 plus PB Wisdom saving throw or take PBd4 psychic damage and be frightened of the hyena until the start of the hyena's next turn.","","Blood Frenzy (Recharges after a Short or Long Rest). When the hyena's caregiver is hit with an attack and the hyena is within 5 feet of the attacker, the hyena can make a signature attack against the attacker.","","","","","",""
"Abyssal Hyena Companion","Medium","Fiend (Companion)","unaligned","13 plus PB (natural armor)","7 + seven times caregiver's level (number of d8 Hit Dice equal to their caregiver's level)","50 ft.","16","14","12","5","12","8","Str +3 plus PB, Dex +2 plus PB","Perception +1 plus PB","","","","","darkvision 60 ft., passive Perception 11 plus PB","—","—","","Signature Attack (Bite). Melee Weapon Attack: +3 plus PB to hit, reach 5 ft., one target. Hit: 1d6 plus PB piercing damage.
1st Level: Unbalancing Attack (2 Ferocity). The hyena makes a signature attack. On a hit, the target also has disadvantage on the next Strength or Dexterity saving throw they make before the start of their next turn.
3rd Level: Gobbling Bite (5 Ferocity). The hyena makes a signature attack with advantage. On a hit, the attack deals an extra PB necrotic damage, and the hyena regains hit points equal to the necrotic damage dealt.
5th Level: Cackle (8 Ferocity). Each enemy within 30 feet of the hyena who can hear them must succeed on a DC 10 plus PB Wisdom saving throw or take PBd4 psychic damage and be frightened of the hyena until the start of the hyena's next turn.","","Blood Frenzy (Recharges after a Short or Long Rest). When the hyena's caregiver is hit with an attack and the hyena is within 5 feet of the attacker, the hyena can make a signature attack against the attacker.","","","","","",""
"Abyssal Wretch","Medium","Fiend (Demon)","chaotic evil","11","18 (4d8)","20 ft.","9","12","11","5","8","5","","","","cold, fire, lightning","poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 9","understands Abyssal but can't speak","1/4 (50 XP)","","Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.","","","","","","","",""
"Adult Amethyst Dragon","Huge","Dragon (Gem)","neutral","19 (natural armor)","229 (17d12 + 119)","40 ft., fly 80 ft. (hover), swim 40 ft.","25","14","25","20","17","21","Dex +7, Con +12, Wis +8, Cha +10","Arcana +15, Perception +13, Persuasion +10, Stealth +7","","force, psychic","","frightened, prone","blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic, telepathy 120 ft.","16 (15,000 XP) or 17 (18,000 XP) when encountered in lair","Amphibious. The dragon can breathe both air and water.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 9 (2d8) force damage.
Claw. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 11 (1d8 + 7) slashing damage.
Singularity Breath (Recharge 5–6). The dragon creates a shining bead of gravitational force in its mouth, then releases the energy in a 90-foot cone. Each creature in that area must make a DC 20 Strength saving throw. On a failed save, the creature takes 45 (10d8) force damage, and its speed becomes 0 until the start of the dragon's next turn. On a successful save, the creature takes half as much damage, and its speed isn't reduced.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 18):1/day each: blink, control water, dispel magic, protection from evil and good, sending","Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The dragon makes one claw attack.
Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting.
Explosive Crystal (Costs 3 Actions). The dragon spits an amethyst that that explodes at a point it can see within 60 feet of it. Each creature within a 20-foot-radius sphere centered on that point must succeed on a DC 20 Dexterity saving throw or take 13 (3d8) force damage and be knocked prone.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Imprisoning Force. The dragon casts the forcecage spell, using its spell save DC and requiring no spell components. The spell ends early if the dragon uses this lair action again or dies.Spatial Projection. The dragon chooses a space it can fit into within the lair. It exists in its own space and the chosen space simultaneously until initiative count 20 on the next round. Whenever it moves or takes an action, it chooses which version of itself is moving or acting. If an effect or attack can target both of the dragon's spaces at the same time, the dragon is affected only once.","The region surrounding a legendary amethyst dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Background Check. Once per day, the dragon can cast the legend lore spell, requiring no spell components, naming any person, place, or object within 1 mile of the lair as the spell's subject.Crystal Profusion. Amethyst crystals and geodes form along muddy shores and lake beds within 6 miles of the lair.Thriving Wildlife. Fish and other aquatic Beasts reproduce rapidly and thrive in bodies of water within 6 miles of the lair. Foraging in these waters yields twice the usual amount of food.Watery Sight. Water within 6 miles of the lair is a conduit for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any body of water in that region.If the dragon dies, the populations of aquatic life near the lair return to normal levels over the course of 1d10 days. The existing abundance of amethysts remains, but new crystals and geodes form at a normal rate.","",""
"Adult Black Dragon","Huge","Dragon (Chromatic)","chaotic evil","19","195 (17d12 + 85)","40 ft., fly 80 ft., swim 40 ft.","23","14","21","14","13","19","Dex +7, Wis +6","Perception +11, Stealth +7","","","acid","","blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","14 (11,500 XP) or (13,000 XP) when encountered in lair","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Melf's Acid Arrow (level 3 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6 + 6) Slashing damage plus 4 (1d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 60-foot-long, 5-foot-wide Line. Failure: 54 (12d8) Acid damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17, +9 to hit with spell attacks):At will: Detect Magic, Fear, Melf's Acid Arrow (level 3 version)1/day each: Speak with Dead, Vitriolic Sphere","","","Cloud of Insects. Dexterity Saving Throw: DC 17, one creature the dragon can see within 120 feet. Failure: 22 (4d10) Poison damage, and the target has Disadvantage on saving throws to maintain Concentration until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.
Frightful Presence. The dragon uses Spellcasting to cast Fear. The dragon can't take this action again until the start of its next turn.
Pounce. The dragon can move up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient black dragon's lair is warped by its presence, creating the following effects:Acrid Haze. Odorous and stifling fog covers the area within 1 mile of the lair, rendering that area Lightly Obscured. Travel for creatures other than the dragon and its allies takes twice the usual time in that area.Foul Water. Water sources within 1 mile of the lair are supernaturally fouled. A creature that drinks such water must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Swamp","Relics"
