Name,Source,Page,Prerequisites,Ability Scores,Repeatable,Description,5etools Link
Aberrant Dragonmark,ERLW,52,No other dragonmark,,No,See 5etools link for full description,https://5e.tools/feats.html#aberrant%20dragonmark_erlw
Actor,PHB,165,,,No,"Skilled at mimicry and dramatics, you gain the following benefits:Increase your Charisma score by 1, to a maximum of 20.You have advantage on Charisma (Deception) and Charisma (Performance) checks when trying to pass yourself off as a different person.You can mimic the speech of another person or the sounds made by other creatures.
You must have heard the person speaking, or heard the creature make the sound, for at least 1 minute.
A successful Wisdom (Insight) check contested by your Charisma (Deception) check allows a listener to determine that the effect is faked.",https://5e.tools/feats.html#actor_phb
Adept of the Black Robes,DSotDQ,31,"4th level, initiate of high sorcery (nuitari)",,No,"You chose the moon Nuitari to influence your magic, and your ambition and loyalty to the Order of the Black Robes have been recognized, granting you these benefits:Ambitious Magic.
You learn one 2nd-level spell of your choice.
The 2nd-level spell must be from the enchantment or necromancy school of magic.
You can cast this feat's 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again.
You can also cast this spell using spell slots you have of the appropriate level.
The spell's spellcasting ability is the one chosen when you gained the Initiate of High Sorcery feat.Life Channel.
You can channel your life force into the power of your magic.
When a creature you can see within 60 feet of you fails a saving throw against a spell that deals damage that you cast, you can expend a number of Hit Dice equal to the level of the spell.
Roll the expended Hit Dice and add them together.
The damage that the creature takes increases by an amount equal to that total.",https://5e.tools/feats.html#adept%20of%20the%20black%20robes_dsotdq
Adept of the Red Robes,DSotDQ,32,"4th level, initiate of high sorcery (lunitari)",,No,"You chose the moon Lunitari to influence your magic, and your dedication to maintaining the balance between all things has been recognized by the Order of the Red Robes, granting you these benefits:Insightful Magic.
You learn one 2nd-level spell of your choice.
The 2nd-level spell must be from the illusion or transmutation school of magic.
You can cast this feat's 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again.
You can also cast this spell using spell slots you have of the appropriate level.
The spell's spellcasting ability is the one chosen when you gained the Initiate of High Sorcery feat.Magical Balance.
When you make an attack roll or an ability check and roll a 9 or lower on the d20, you can balance fate and treat the roll as a 10.
You can balance fate in this way a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#adept%20of%20the%20red%20robes_dsotdq
Adept of the White Robes,DSotDQ,32,"4th level, initiate of high sorcery (solinari)",,No,"You chose the moon Solinari to influence your magic, and your oath to use magic to make the world a better place has been recognized by the Order of the White Robes, granting you these benefits:Protective Magic.
You learn one 2nd-level spell of your choice.
The 2nd-level spell must be from the abjuration or divination school of magic.
You can cast this feat's 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again.
You can also cast this spell using spell slots you have of the appropriate level.
The spell's spellcasting ability is the one chosen when you gained the Initiate of High Sorcery feat.Protective Ward.
When you or a creature you can see within 30 feet of you takes damage, you can use your reaction to expend a spell slot and weave protective magic around the target.
Roll a number of d6s equal to the level of the spell slot expended and reduce the damage the target takes by the total rolled on those dice + your spellcasting ability modifier.",https://5e.tools/feats.html#adept%20of%20the%20white%20robes_dsotdq
Adroit Crafter,GrimHollowLairsEtharis,,Proficiency in a skill or tool,,No,"You've trained in crafting items using a skill or tool that you're proficient with, and the steps in crafting have become second nature to you.
You gain the following benefits:The time it takes to create an item using your proficient skills or tools is halved.If you fail to successfully craft the item and would lose the components, you retain the components instead.",https://5e.tools/feats.html#adroit%20crafter_grimhollowlairsetharis
Aerial Expert,HumblewoodCampaignSetting,47,Glide trait,,No,"Years of practice or an innate talent have made you adept at gliding.
You gain the following benefits:You no longer need to move at least 10 feet to perform long and high jumps.
You may choose whether the jump uses your Strength or Dexterity score for determining height or distance, and you double the distance you would normally leap in either case.You may take the Dash action while gliding to fly an additional distance up to your movement speed.You may change direction freely while gliding, and may gain up to 10 feet of altitude once before you finish your descent.",https://5e.tools/feats.html#aerial%20expert_humblewoodcampaignsetting
Against the Unseen,TLotRR,85,,,No,"Elves can perceive creatures that dwell in the wraith-world, be they spirits or ghosts, even when they are normally invisible to the eyes of the living and appear only as a chilling whisper of voices.
You have learnt to strengthen your heart against such terrors.Increase your Wisdom or Charisma by 1, to a maximum of 20.You have advantage on Charisma saving throws, and you cannot be frightened by Undead creatures.",https://5e.tools/feats.html#against%20the%20unseen_tlotrr
Agent of Order,SatO,10,"4th level, scion of the outer planes (lawful outer plane)",,No,"You can channel cosmic forces of order to gain these benefits:Ability Score Increase.
Increase one ability score of your choice by 1, to a maximum of 20.Stasis Strike.
Once per turn, when you damage a creature you can see within 60 feet of yourself, you can deal an extra 1d8 force damage to the target, and it must make a Wisdom saving throw (DC equal to 8 + your proficiency bonus + the modifier of the spellcasting ability you chose for the Scion of the Outer Planes feat) as spectral bindings try to ensnare it.
On a successful save, the target escapes.
On a failed save, the target has the restrained condition until the start of your next turn.
These bindings manifest as chains or some other symbol of stasis.
You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#agent%20of%20order_sato
Alert,PHB,165,,,No,"Always on the lookout for danger, you gain the following benefits:You gain a +5 bonus to initiative.You can't be surprised while you are conscious.Other creatures don't gain advantage on attack rolls against you as a result of being unseen by you.",https://5e.tools/feats.html#alert_phb
Art of Disappearing,TLotRR,86,,,No,"Hobbits are said to have little or no magic about them, but the way they can choose to disappear quickly and quietly can be described by others only as supernatural.
You have learnt to choose exactly the right moment to turn away from the attention of others, sometimes unconsciously anticipating the need to disappear.Increase your Dexterity score by 1, to a maximum of 20.Your proficiency bonus is doubled for any Dexterity (Stealth) check you make.You can try to hide even when you are only lightly obscured from the creature from which you are hiding.",https://5e.tools/feats.html#art%20of%20disappearing_tlotrr
Artificer Initiate,TCE,79,,,No,"You've learned some of an artificer's inventiveness:You learn one cantrip of your choice from the artificer spell list, and you learn one 1st-level spell of your choice from that list.
Intelligence is your spellcasting ability for these spells.You can cast this feat's 1st-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again.
You can also cast the spell using any spell slots you have.You gain proficiency with one type of artisan's tools of your choice, and you can use that type of tool as a spellcasting focus for any spell you cast that uses Intelligence as its spellcasting ability.",https://5e.tools/feats.html#artificer%20initiate_tce
Athlete,PHB,165,,,No,"You have undergone extensive physical training to gain the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.When you are prone, standing up uses only 5 feet of your movement.Climbing doesn't cost you extra movement.You can make a running long jump or a running high jump after moving only 5 feet on foot, rather than 10 feet.",https://5e.tools/feats.html#athlete_phb
Baleful Scion,SatO,10,"4th level, scion of the outer planes (evil outer plane)",,No,"You can channel cosmic forces of evil to gain these benefits:Ability Score Increase.
Increase one ability score of your choice by 1, to a maximum of 20.Grasp of Avarice.
Once per turn, when you damage a creature you can see within 60 feet of yourself, you can also deal necrotic damage to it.
The necrotic damage equals 1d6 + your proficiency bonus, and you regain a number of hit points equal to this necrotic damage dealt.
You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#baleful%20scion_sato
Bandit Cunning,HumblewoodCampaignSetting,47,,,No,"Your time as a bandit has granted you a sense for danger, and made you skilled at sizing up opponents.
You gain the following benefits:When you are asked to make a saving throw, you may spend your reaction to add your Intelligence modifier as an additional bonus to the saving throw.
You cannot use this ability again until you have completed a long rest.During combat, you can use your action to make an Intelligence (Investigation) check against any creature you have seen fight.
As long as you succeed against a DC of 10 + their challenge rating, you can learn one useful fact of your choice about the target's combat abilities.
Choose from:one damage resistance or immunityone condition immunityone special ability possessed by the creature that either does damage, or prevents damageone option under their attack, legendary, or reaction actionsone special sense they possess",https://5e.tools/feats.html#bandit%20cunning_humblewoodcampaignsetting
