Name,Source,Page,Ability Scores,Size,Speed,Description
Aarakocra,EEPC,5,Dexterity +2; Wisdom +1,Medium,"25 feet, fly 50 feet","<strong>Age</strong><br><br>Aarakocra reach maturity by age 3. Compared to humans, aarakocra don't usually live longer than 30 years.<br><br><strong>Alignment</strong><br><br>Most aarakocra are good and rarely choose sides when it comes to law and chaos. Tribal leaders and warriors might be lawful, while explorers and adventurers might tend toward chaotic.<br><br><strong>Size</strong><br><br>Aarakocra are about 5 feet tall. They have thin, lightweight bodies that weigh between 80 and 100 pounds. Your size is Medium.<br><br><strong>Flight</strong><br><br>You have a flying speed of 50 feet. To use this speed, you can't be wearing medium or heavy armor.<br><br><strong>Talons</strong><br><br>Your talons are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike.<br><br><strong>Language</strong><br><br>You can speak, read, and write Common, Aarakocra, and Auran."
Aarakocra,MPMM,5,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Medium,"30 feet, fly equal to your walking speed","<strong>Flight</strong><br><br>Because of your wings, you have a flying speed equal to your walking speed. You can't use this flying speed if you're wearing medium or heavy armor.<br><br><strong>Talons</strong><br><br>You have talons that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier slashing damage, instead of the bludgeoning damage normal for an unarmed strike.<br><br><strong>Wind Caller</strong><br><br>Starting at 3rd level, you can cast the gust of wind spell with this trait, without requiring a material component. Once you cast the spell with this trait, you can't do so again until you finish a long rest. You can also cast the spell using any spell slots you have of 2nd level or higher.<br><br>Intelligence, Wisdom, or Charisma is your spellcasting ability for when you cast gust of wind with this trait (choose when you select this race)."
Aasimar,DMG,286,Charisma +2; Wisdom +1,Medium,30 feet,"<strong>Age</strong><br><br>Aasimar mature at the same rate as humans but live a few years longer.<br><br><strong>Size</strong><br><br>Aasimar are built like well-proportioned humans. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Thanks to your celestial heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of grey.<br><br><strong>Celestial Resistance</strong><br><br>You have resistance to necrotic and radiant damage.<br><br><strong>Celestial Legacy</strong><br><br>You know the light cantrip. Once you reach 3rd level, you can cast the lesser restoration spell once with this trait, and you regain the ability to do so when you finish a long rest. Once you reach 5th level, you can cast the daylight spell once with this trait, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells.<br><br><strong>Language</strong><br><br>You can speak, read, and write Common and Celestial."
Aasimar,MPMM,7,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Small or Medium,30 feet,"<strong>Size</strong><br><br>You are Medium or Small. You choose the size when you select this race.<br><br><strong>Celestial Resistance</strong><br><br>You have resistance to necrotic damage and radiant damage.<br><br><strong>Darkvision</strong><br><br>You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.<br><br><strong>Healing Hands</strong><br><br>As an action, you can touch a creature and roll a number of d4s equal to your proficiency bonus. The creature regains a number of hit points equal to the total rolled. Once you use this trait, you can't use it again until you finish a long rest.<br><br><strong>Light Bearer</strong><br><br>You know the light cantrip. Charisma is your spellcasting ability for it.<br><br><strong>Celestial Revelation</strong><br><br>When you reach 3rd level, choose one of the revelation options below. Thereafter, you can use a bonus action to unleash the celestial energy within yourself, gaining the benefits of that revelation. Your transformation lasts for 1 minute or until you end it as a bonus action. Once you transform using your revelation below, you can't use it again until you finish a long rest.<br><br>• {'type': 'item', 'name': 'Necrotic Shroud', 'entry': 'Your eyes briefly become pools of darkness, and ghostly, flightless wings sprout from your back temporarily. Creatures other than your allies within 10 feet of you that can see you must succeed on a Charisma saving throw (DC 8 + your proficiency bonus + your Charisma modifier) or become frightened of you until the end of your next turn. Until the transformation ends, once on each of your turns, you can deal extra necrotic damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your proficiency bonus.'}<br><br>• {'type': 'item', 'name': 'Radiant Consumption', 'entry': 'Searing light temporarily radiates from your eyes and mouth. For the duration, you shed bright light in a 10-foot radius and dim light for an additional 10 feet, and at the end of each of your turns, each creature within 10 feet of you takes radiant damage equal to your proficiency bonus. Until the transformation ends, once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your proficiency bonus.'}<br><br>• {'type': 'item', 'name': 'Radiant Soul', 'entry': 'Two luminous, spectral wings sprout from your back temporarily. Until the transformation ends, you have a flying speed equal to your walking speed, and once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your proficiency bonus.'}"
Aasimar,VGM,104,Charisma +2,Medium,30 feet,"<strong>Age</strong><br><br>Aasimar mature at the same rate as humans, but they can live up to 160 years.<br><br><strong>Size</strong><br><br>Aasimar have the same range of height and weight as humans.<br><br><strong>Darkvision</strong><br><br>Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Celestial Resistance</strong><br><br>You have resistance to necrotic damage and radiant damage.<br><br><strong>Healing Hands</strong><br><br>As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.<br><br><strong>Light Bearer</strong><br><br>You know the light cantrip. Charisma is your spellcasting ability for it.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Celestial."
Aasimar (Fallen),VGM,105,Charisma +2; Strength +1,Medium,30 feet,"<strong>Age</strong><br><br>Aasimar mature at the same rate as humans, but they can live up to 160 years.<br><br><strong>Size</strong><br><br>Aasimar have the same range of height and weight as humans.<br><br><strong>Darkvision</strong><br><br>Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Celestial Resistance</strong><br><br>You have resistance to necrotic damage and radiant damage.<br><br><strong>Healing Hands</strong><br><br>As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.<br><br><strong>Light Bearer</strong><br><br>You know the light cantrip. Charisma is your spellcasting ability for it.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Celestial.<br><br><strong>Necrotic Shroud</strong><br><br>Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to turn into pools of darkness and two skeletal, ghostly, flightless wings to sprout from your back. The instant you transform, other creatures within 10 feet of you that can see you must succeed on a Charisma saving throw (DC 8 + your proficiency bonus + your Charisma modifier) or become frightened of you until the end of your next turn.<br><br>Your transformation lasts for 1 minute or until you end it as a bonus action. During it, once on each of your turns, you can deal extra necrotic damage to one target when you deal damage to it with an attack or a spell. The extra necrotic damage equals your level.<br><br>Once you use this trait, you can't use it again until you finish a long rest."
Aasimar (Protector),VGM,105,Charisma +2; Wisdom +1,Medium,30 feet,"<strong>Age</strong><br><br>Aasimar mature at the same rate as humans, but they can live up to 160 years.<br><br><strong>Size</strong><br><br>Aasimar have the same range of height and weight as humans.<br><br><strong>Darkvision</strong><br><br>Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Celestial Resistance</strong><br><br>You have resistance to necrotic damage and radiant damage.<br><br><strong>Healing Hands</strong><br><br>As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.<br><br><strong>Light Bearer</strong><br><br>You know the light cantrip. Charisma is your spellcasting ability for it.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Celestial.<br><br><strong>Radiant Soul</strong><br><br>Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to glimmer and two luminous, incorporeal wings to sprout from your back.<br><br>Your transformation lasts for 1 minute or until you end it as a bonus action. During it, you have a flying speed of 30 feet, and once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra radiant damage equals your level.<br><br>Once you use this trait, you can't use it again until you finish a long rest."
Aasimar (Scourge),VGM,105,Charisma +2; Constitution +1,Medium,30 feet,"<strong>Age</strong><br><br>Aasimar mature at the same rate as humans, but they can live up to 160 years.<br><br><strong>Size</strong><br><br>Aasimar have the same range of height and weight as humans.<br><br><strong>Darkvision</strong><br><br>Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Celestial Resistance</strong><br><br>You have resistance to necrotic damage and radiant damage.<br><br><strong>Healing Hands</strong><br><br>As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.<br><br><strong>Light Bearer</strong><br><br>You know the light cantrip. Charisma is your spellcasting ability for it.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Celestial.<br><br><strong>Radiant Consumption</strong><br><br>Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing a searing light to radiate from you, pour out of your eyes and mouth, and threaten to char you.<br><br>Your transformation lasts for 1 minute or until you end it as a bonus action. During it, you shed bright light in a 10-foot radius and dim light for an additional 10 feet, and at the end of each of your turns, you and each creature within 10 feet of you take radiant damage equal to half your level (rounded up). In addition, once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra radiant damage equals your level.<br><br>Once you use this trait, you can't use it again until you finish a long rest."
Astral Elf,AAG,10,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Medium,30 feet,"<strong>Creature Type</strong><br><br>You are a Humanoid. You are also considered an elf for any prerequisite or effect that requires you to be an elf.<br><br><strong>Astral Fire</strong><br><br>You know one of the following cantrips of your choice: dancing lights, light, or sacred flame. Intelligence, Wisdom, or Charisma is your spellcasting ability for it (choose when you select this race).<br><br><strong>Darkvision</strong><br><br>You can see in dim light within 60 feet of yourself as if it were bright light, and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws you make to avoid or end the charmed condition on yourself.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Starlight Step</strong><br><br>As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.<br><br><strong>Astral Trance</strong><br><br>You don't need to sleep, and magic can't put you to sleep. You can finish a long rest in 4 hours if you spend those hours in a trancelike meditation, during which you remain conscious.<br><br>Whenever you finish this trance, you gain proficiency in one skill of your choice and with one weapon or tool of your choice, selected from the Player's Handbook. You mystically acquire these proficiencies by drawing them from shared elven memory and the experiences of entities on the Astral Plane, and you retain them until you finish your next long rest."
Autognome,AAG,11,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Small,30 feet,"<strong>Creature Type</strong><br><br>You are a Construct.<br><br><strong>Armored Casing</strong><br><br>You are encased in thin metal or some other durable material. While you aren't wearing armor, your base Armor Class is 13 + your Dexterity modifier.<br><br><strong>Built for Success</strong><br><br>You can add a d4 to one attack roll, ability check, or saving throw you make, and you can do so after seeing the d20 roll but before the effects of the roll are resolved. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.<br><br><strong>Healing Machine</strong><br><br>If the mending spell is cast on you, you can spend a Hit Die, roll it, and regain a number of hit points equal to the roll plus your Constitution modifier (minimum of 1 hit point).<br><br>In addition, your creator designed you to benefit from several spells that preserve life but that normally don't affect Constructs: cure wounds, healing word, mass cure wounds, mass healing word, and spare the dying.<br><br><strong>Mechanical Nature</strong><br><br>You have resistance to poison damage and immunity to disease, and you have advantage on saving throws against being paralyzed or poisoned. You don't need to eat, drink, or breathe.<br><br><strong>Sentry's Rest</strong><br><br>When you take a long rest, you spend at least 6 hours in an inactive, motionless state, instead of sleeping. In this state, you appear inert, but you remain conscious.<br><br><strong>Specialized Design</strong><br><br>You gain two tool proficiencies of your choice, selected from the Player's Handbook."
