Name,Source,Page,Ability Scores,Size,Speed,Description
Aarakocra,DMG,282,"Dex +2, Wis +2",Medium,"20 ft., Fly 50 ft.","Dive Attack If you are flying and dive at least 30 ft. straight toward a target and then hit it with a melee weapon attack, the attack deals an extra 1d6 damage to the target. Talons You are proficient with your unarmed strikes, which deal 1d4 slashing damage on a hit. Language You can speak, read, and write Auran."
Aarakocra,EEPC,5,"Dex +2, Wis +1",Medium,"25 ft., Fly 50 ft.","Age Aarakocra reach maturity by age 3. Compared to humans, aarakocra don't usually live longer than 30 years. Alignment Most aarakocra are good and rarely choose sides when it comes to law and chaos. Tribal leaders and warriors might be lawful, while explorers and adventurers might tend toward chaotic. Size Aarakocra are about 5 feet tall. They have thin, lightweight bodies that weigh between 80 and 100 pounds. Your size is Medium. Flight You have a flying speed of 50 feet. To use this speed, you can't be wearing medium or heavy armor. Talons Your talons are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike. Language You can speak, read, and write Common, Aarakocra, and Auran."
Aarakocra,MPMM,5,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,"30 ft., Fly","Flight Because of your wings, you have a flying speed equal to your walking speed. You can't use this flying speed if you're wearing medium or heavy armor. Talons You have talons that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier slashing damage, instead of the bludgeoning damage normal for an unarmed strike. Wind Caller Starting at 3rd level, you can cast the gust of wind spell with this trait, without requiring a material component. Once you cast the spell with this trait, you can't do so again until you finish a long rest. You can also cast the spell using any spell slots you have of 2nd level or higher. Intelligence, Wisdom, or Charisma is your spellcasting ability for when you cast gust of wind with this trait (choose when you select this race)."
Aasimar,DMG,286,"Wis +1, Cha +2",Medium,30 ft.,"Age Aasimar mature at the same rate as humans but live a few years longer. Size Aasimar are built like well-proportioned humans. Your size is Medium. Darkvision Thanks to your celestial heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of grey. Celestial Resistance You have resistance to necrotic and radiant damage. Celestial Legacy You know the light cantrip. Once you reach 3rd level, you can cast the lesser restoration spell once with this trait, and you regain the ability to do so when you finish a long rest. Once you reach 5th level, you can cast the daylight spell once with this trait, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells. Language You can speak, read, and write Common and Celestial."
Aasimar,MPMM,7,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha","Small, Medium",30 ft.,"Size You are Medium or Small. You choose the size when you select this race. Celestial Resistance You have resistance to necrotic damage and radiant damage. Darkvision You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Healing Hands As an action, you can touch a creature and roll a number of d4s equal to your proficiency bonus. The creature regains a number of hit points equal to the total rolled. Once you use this trait, you can't use it again until you finish a long rest. Light Bearer You know the light cantrip. Charisma is your spellcasting ability for it. Celestial Revelation When you reach 3rd level, choose one of the revelation options below. Thereafter, you can use a bonus action to unleash the celestial energy within yourself, gaining the benefits of that revelation. Your transformation lasts for 1 minute or until you end it as a bonus action. Once you transform using your revelation below, you can't use it again until you finish a long rest. Necrotic Shroud Your eyes briefly become pools of darkness, and ghostly, flightless wings sprout from your back temporarily. Creatures other than your allies within 10 feet of you that can see you must succeed on a Charisma saving throw (8 + your proficiency bonus + your Charisma modifier) or become frightened of you until the end of your next turn. Until the transformation ends, once on each of your turns, you can deal extra necrotic damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your proficiency bonus. Radiant Consumption Searing light temporarily radiates from your eyes and mouth. For the duration, you shed bright light in a 10-foot radius and dim light for an additional 10 feet, and at the end of each of your turns, each creature within 10 feet of you takes radiant damage equal to your proficiency bonus. Until the transformation ends, once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your proficiency bonus. Radiant Soul Two luminous, spectral wings sprout from your back temporarily. Until the transformation ends, you have a flying speed equal to your walking speed, and once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your proficiency bonus."
Aasimar,VGM,104,Cha +2,Medium,30 ft.,"Age Aasimar mature at the same rate as humans, but they can live up to 160 years. Size Aasimar have the same range of height and weight as humans. Darkvision Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Celestial Resistance You have resistance to necrotic damage and radiant damage. Healing Hands As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest. Light Bearer You know the light cantrip. Charisma is your spellcasting ability for it. Languages You can speak, read, and write Common and Celestial."
Aasimar Fallen,VGM,105,Str +1,,,"Necrotic Shroud Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to turn into pools of darkness and two skeletal, ghostly, flightless wings to sprout from your back. The instant you transform, other creatures within 10 feet of you that can see you must succeed on a Charisma saving throw (8 + your proficiency bonus + your Charisma modifier) or become frightened of you until the end of your next turn. Your transformation lasts for 1 minute or until you end it as a bonus action. During it, once on each of your turns, you can deal extra necrotic damage to one target when you deal damage to it with an attack or a spell. The extra necrotic damage equals your level. Once you use this trait, you can't use it again until you finish a long rest."
Aasimar Protector,VGM,105,Wis +1,,,"Radiant Soul Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to glimmer and two luminous, incorporeal wings to sprout from your back. Your transformation lasts for 1 minute or until you end it as a bonus action. During it, you have a flying speed of 30 feet, and once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra radiant damage equals your level. Once you use this trait, you can't use it again until you finish a long rest."
Aasimar Scourge,VGM,105,Con +1,,,"Radiant Consumption Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing a searing light to radiate from you, pour out of your eyes and mouth, and threaten to char you. Your transformation lasts for 1 minute or until you end it as a bonus action. During it, you shed bright light in a 10-foot radius and dim light for an additional 10 feet, and at the end of each of your turns, you and each creature within 10 feet of you take radiant damage equal to half your level (rounded up). In addition, once on each of your turns, you can deal extra radiant damage to one target when you deal damage to it with an attack or a spell. The extra radiant damage equals your level. Once you use this trait, you can't use it again until you finish a long rest."
Astral Elf,AAG,10,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,30 ft.,"Creature Type You are a Humanoid. You are also considered an elf for any prerequisite or effect that requires you to be an elf. Astral Fire You know one of the following cantrips of your choice: dancing lights, light, or sacred flame. Intelligence, Wisdom, or Charisma is your spellcasting ability for it (choose when you select this race). Darkvision You can see in dim light within 60 feet of yourself as if it were bright light, and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Fey Ancestry You have advantage on saving throws you make to avoid or end the charmed condition on yourself. Keen Senses You have proficiency in the Perception skill. Starlight Step As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Astral Trance You don't need to sleep, and magic can't put you to sleep. You can finish a long rest in 4 hours if you spend those hours in a trancelike meditation, during which you remain conscious. Whenever you finish this trance, you gain proficiency in one skill of your choice and with one weapon or tool of your choice, selected from the Player's Handbook. You mystically acquire these proficiencies by drawing them from shared elven memory and the experiences of entities on the Astral Plane, and you retain them until you finish your next long rest."
